id,indices
0,97 101 314 378 389 442 501 650 728 817 896 909 918 927 1019 1034 1060 1088 1089 1114 1157 1160 1199 1200 1279 1306 1380 1453 1499 1576 1594 1618 1631 1649 1663 1717 1724 1750 1873 1888 1958 1967
1,9 45 78 89 145 203 322 548 586 650 695 718 760 781 807 831 841 861 906 935 944 1057 1087 1088 1152 1161 1186 1199 1285 1380 1385 1411 1446 1536 1697 1750 1775 1855 1873 1917 2021
2,74 80 116 197 255 265 310 341 378 407 437 441 463 486 526 527 561 569 645 650 656 738 744 762 784 807 813 844 862 875 880 926 935 1035 1039 1043 1066 1086 1088 1152 1175 1294 1349 1380 1385 1480 1508 1514 1535 1561 1573 1586 1603 1610 1647 1683 1750 1754 1758 1762 1765 1771 1791 1800 1815 1855 1863 1866 1873 1876 1905 1917 1985
3,94 186 210 227 235 249 319 335 348 350 389 440 650 695 715 807 841 875 967 1003 1019 1057 1245 1279 1380 1431 1457 1476 1502 1536 1716 1722 1750 1803 1823 1873 1917 1920 1968 1970 2000
4,13 80 145 147 319 350 354 374 500 606 650 676 688 695 715 734 800 807 890 926 935 1017 1019 1028 1057 1088 1199 1243 1305 1309 1325 1344 1380 1385 1410 1447 1452 1476 1480 1518 1522 1569 1592 1614 1686 1697 1750 1820 1873 1917 1970 1978 1991 1998
